UKPRN,HE provider,Female,Male,Other,Not known,Total
10008071,AA School of Architecture,600,410,0,0,"1,010"
10007783,The University of Aberdeen,"9,505","7,025",35,0,"16,565"
10007849,Abertay University,"2,305","2,460",20,0,"4,790"
10007856,Aberystwyth University,"4,165","3,515",160,0,"7,845"
10067853,ACM Guildford Limited,295,650,15,0,960
10000163,AECC University College,475,560,0,0,"1,035"
10032036,Amity Global Education,30,30,0,0,60
10000291,Anglia Ruskin University,"21,775","13,395",25,0,"35,195"
10041898,Apex College London,245,185,0,0,430
10062759,Applied Business Academy Limited,525,400,0,0,920
10005451,Arden University,"9,415","5,700",5,0,"15,120"
10000381,Arts Educational Schools,200,145,0,0,345
10008899,The Ashridge (Bonar Law Memorial) Trust,535,460,0,0,995
10003212,Hult International Business School Ltd,705,955,0,0,"1,660"
10007759,Aston University,"8,315","9,275",5,0,"17,595"
10038772,British Academy of Jewellery Limited,80,125,0,0,205
10007857,Bangor University,"6,320","4,185",0,0,"10,505"
10000571,Bath Spa University,"7,930","5,295",15,0,"13,240"
10007850,The University of Bath,"8,500","10,340",50,0,"18,890"
10036456,Backstage Academy (Training) Ltd,45,145,0,0,195
10007152,University of Bedfordshire,"9,895","6,510",20,0,"16,430"
10005343,Queen's University Belfast,"14,695","10,595",5,0,"25,295"
10037544,BIMM University,"3,125","3,825",90,0,"7,045"
10007760,Birkbeck College,"6,095","4,525",35,0,"10,660"
10007140,Birmingham City University,"19,250","10,980",60,0,"30,285"
10006840,The University of Birmingham,"21,785","16,165",45,0,"37,990"
10000712,University College Birmingham,"3,370","1,795",5,0,"5,170"
10000894,Bristol Baptist College,30,35,0,0,70
10007811,Bishop Grosseteste University,"1,800",560,5,0,"2,370"
10004061,Bloomsbury Institute,650,445,0,0,"1,095"
10006841,The University of Bolton,"6,820","4,165",10,0,"10,995"
10000385,The Arts University Bournemouth,"2,620","1,000",110,0,"3,725"
10000824,Bournemouth University,"9,870","8,025",65,0,"17,960"
10031982,BPP University,"8,510","7,290",105,0,"15,910"
10007785,The University of Bradford,"6,725","5,160",0,0,"11,885"
10000886,The University of Brighton,"11,015","6,635",185,0,"17,835"
10000936,The University College of Osteopathy,265,205,0,0,475
10007786,The University of Bristol,"17,385","14,060",40,0,"31,485"
10028216,Brit College,10,10,0,0,15
10023464,Trinity College Bristol,80,80,0,0,160
10000961,Brunel University London,"8,360","10,245",50,0,"18,655"
10000975,Buckinghamshire New University,"11,005","9,555",15,0,"20,570"
10007787,The University of Buckingham,"1,850","1,575",5,0,"3,430"
10010308,Cambridge Arts and Sciences Limited,90,30,0,0,120
10007788,The University of Cambridge,"11,230","11,165",215,0,"22,610"
10032072,The Cambridge Theological Federation,65,80,0,0,145
10003324,The Institute of Cancer Research,250,110,0,0,365
10001143,Canterbury Christ Church University,"14,510","10,135",15,0,"24,660"
10007814,Cardiff University,"20,080","13,790",120,0,"33,985"
10007854,Cardiff Metropolitan University,"6,630","5,980",10,0,"12,620"
10057213,CEG UFP Limited,210,590,0,0,805
10007141,The University of Central Lancashire,"16,490","11,800",35,0,"28,325"
10024024,Central Film School London,45,75,0,0,125
10007848,University of Chester,"9,550","4,760",15,0,"14,325"
10007137,The University of Chichester,"3,805","2,180",0,0,"5,985"
10001386,Chicken Shed Theatre Company,50,35,0,0,85
10001546,The College of Integrated Chinese Medicine,160,25,0,0,185
10026921,Christ the Redeemer College,135,75,0,0,210
10010213,The City College,155,55,5,0,215
10001478,"City, University of London","11,935","8,740",10,0,"20,685"
10007912,Cliff College,75,50,0,0,125
10066502,The College of Health Ltd,210,140,0,0,345
10023442,The College of Osteopaths,35,45,0,0,80
10001653,Conservatoire for Dance and Drama,775,315,15,0,"1,105"
10081618,The Council of the Inns of Court,90,70,0,0,165
10007761,Courtauld Institute of Art,485,115,5,0,600
10034324,Court Theatre Training Company Ltd,15,20,0,0,35
10001726,Coventry University,"18,880","19,235",70,0,"38,190"
10007822,Cranfield University,"1,480","3,920",5,0,"5,400"
10006427,University for the Creative Arts,"5,820","3,500",110,0,"9,430"
10007842,University of Cumbria,"6,165","3,510",35,0,"9,705"
10026767,Dartington Hall Trust (The),95,35,0,0,130
10015688,David Game College Ltd,255,150,0,0,405
10001883,De Montfort University,"15,605","12,715",10,0,"28,335"
10007851,University of Derby,"12,920","7,895",140,0,"20,955"
10007852,The University of Dundee,"11,760","6,315",20,0,"18,100"
10007143,University of Durham,"12,015","10,215",5,0,"22,230"
10067355,Dyson Technical Training Limited,15,25,0,0,40
10007789,The University of East Anglia,"11,250","7,780",105,0,"19,130"
10007144,The University of East London,"10,210","9,325",10,0,"19,550"
10032282,The Queen's Foundation for Ecumenical Theological Education,220,120,0,0,340
10007823,Edge Hill University,"10,335","4,360",5,0,"14,700"
10007772,Edinburgh Napier University,"8,485","7,020",20,0,"15,530"
10007790,The University of Edinburgh,"25,550","15,510",185,0,"41,250"
10022047,Empire College London Limited,75,105,0,0,180
10007791,The University of Essex,"10,130","7,945",40,0,"18,110"
10008173,University College of Estate Management,"1,015","1,990",5,0,"3,010"
10002313,ESCP Europe Business School,265,340,0,0,605
10007792,The University of Exeter,"17,375","14,955",135,0,"32,465"
10008640,Falmouth University,"3,815","2,710",115,0,"6,635"
10045476,Met Film School Limited,270,260,0,0,530
10004511,The National Film and Television School,280,270,5,0,555
10038763,ForMission Ltd,25,20,0,0,40
10022087,Futureworks,100,300,5,0,400
10042500,Global Banking School Limited,970,920,0,0,"1,895"
10007762,Glasgow Caledonian University,"11,590","8,445",10,0,"20,050"
10002681,Glasgow School of Art,"1,665",745,35,0,"2,440"
10007794,The University of Glasgow,"25,825","16,800",360,0,"42,980"
10007145,University of Gloucestershire,"4,965","3,235",15,0,"8,210"
10007833,Glyndŵr University,"4,410","3,055",25,0,"7,490"
10002718,Goldsmiths College,"6,740","3,090",45,0,"9,880"
10030408,Gower College Swansea,25,25,0,0,50
10007146,The University of Greenwich,"14,525","12,090",0,0,"26,610"
10007825,Guildhall School of Music and Drama,520,570,10,0,"1,105"
10040812,Harper Adams University,"2,920","2,345",10,0,"5,275"
10080811,Hartpury University,"1,650",710,0,0,"2,355"
10007764,Heriot-Watt University,"4,395","7,150",140,0,"11,680"
10007147,University of Hertfordshire,"16,255","15,690",0,0,"31,940"
10007148,The University of Huddersfield,"12,640","8,150",95,0,"20,885"
10007149,The University of Hull,"8,655","6,350",70,0,"15,075"
10003239,ICON College of Technology and Management,765,600,0,0,"1,365"
10003270,"Imperial College of Science, Technology and Medicine","9,295","12,170",5,0,"21,470"
10013220,Institute of Art - London Limited,210,30,5,0,240
10067388,The Institute of Ismaili Studies,50,30,0,0,80
10035638,Institute of Contemporary Music Performance,415,650,15,0,"1,080"
10082728,INTO University Partnerships Limited,40,60,0,0,100
10029682,The Islamic College,40,25,0,0,65
10067601,JSA Education Group Ltd.,15,0,0,0,20
10082570,Kaplan International Colleges U.K. Limited,210,590,0,0,805
10021682,Kaplan Open Learning,"1,245",585,5,0,"1,835"
10007767,Keele University,"7,620","4,595",15,0,"12,235"
10003566,Kensington College of Business,5,5,0,0,5
10007150,The University of Kent,"9,740","8,350",65,0,"18,155"
10003645,King's College London,"26,455","14,355",680,0,"41,490"
10003678,Kingston University,"11,565","8,275",80,0,"19,920"
10003758,LAMDA Limited,220,150,10,0,380
10007768,The University of Lancaster,"9,275","8,430",70,0,"17,770"
10066551,LCCM AU UK Limited,15,15,0,0,30
10003854,Leeds Arts University,"1,760",575,5,0,"2,340"
10003861,Leeds Beckett University,"12,525","10,840",0,0,"23,365"
10003798,Le Cordon Bleu Limited,410,140,0,0,555
10034449,Leeds Conservatoire,550,980,5,0,"1,540"
10007795,The University of Leeds,"21,795","15,315",80,0,"37,190"
10003863,Leeds Trinity University,"6,570","5,065",10,0,"11,640"
10082828,College of Legal Practice Limited,80,35,0,0,120
10007796,The University of Leicester,"8,625","8,045",0,0,"16,670"
10007151,The University of Lincoln,"9,890","7,980",105,0,"17,975"
10003956,Liverpool Hope University,"3,565","2,045",30,0,"5,640"
10003957,Liverpool John Moores University,"15,735","12,365",0,0,"28,100"
10003945,The Liverpool Institute for Performing Arts,560,420,10,0,990
10006842,The University of Liverpool,"15,810","12,870",0,0,"28,680"
10003958,Liverpool School of Tropical Medicine,190,80,0,0,270
10007820,Grŵp Llandrillo Menai,555,355,0,0,910
10007162,"University of the Arts, London","16,955","5,420",75,0,"22,455"
10013109,London Bridge Business Academy,120,80,0,0,200
10007769,London Business School,935,"1,455",0,0,"2,390"
10030391,London Churchill College Ltd,100,145,0,0,245
10007797,University of London (Institutes and activities),"2,065","2,220",5,0,"4,290"
10039082,City and Guilds of London Art School,195,85,0,0,280
10023434,London School of Commerce & IT Limited,150,145,0,0,295
10004036,London Film School Limited,160,175,0,0,340
10015506,The London College UCK,440,750,0,0,"1,190"
10004048,London Metropolitan University,"8,715","4,700",20,0,"13,435"
10032594,London School of Academics Ltd,80,60,0,0,140
10004078,London South Bank University,"10,795","8,375",20,0,"19,185"
10004063,London School of Economics and Political Science,"7,355","5,595",25,0,"12,975"
10007771,London School of Hygiene and Tropical Medicine,805,320,5,0,"1,125"
10022285,London School of Management Education,455,270,0,0,725
10004075,London School of Theology,195,250,0,0,445
10004079,London Studio Centre,295,20,0,0,320
10062810,The London School of Architecture,50,65,0,0,115
10008289,The London Institute of Banking & Finance,80,215,0,0,295
10004035,The Film Education Training Trust Limited,70,80,0,0,150
10067623,The London Interdisciplinary School Ltd,35,30,0,0,65
10004113,Loughborough University,"7,580","11,175",5,0,"18,760"
10009612,Luther King House Educational Trust,50,30,5,0,85
10004180,The Manchester Metropolitan University,"21,765","15,185",30,0,"36,980"
10007798,The University of Manchester,"26,305","20,095",10,0,"46,410"
10009527,Istituto Marangoni Limited,990,135,0,0,"1,125"
10023452,The Markfield Institute of Higher Education,60,70,0,0,130
10023453,Matrix College of Counselling and Psychotherapy Ltd,115,15,0,0,130
10020416,Missio Dei,25,55,0,0,80
10030776,St Mellitus College,270,195,0,0,465
10004320,The Metanoia Institute,350,105,5,0,455
10004351,Middlesex University,"11,495","7,730",0,0,"19,225"
10032277,The Minster Centre,135,40,0,0,175
10049370,MLA College,20,55,0,0,75
10004450,Mountview Academy of Theatre Arts,270,175,5,0,450
10023777,Mont Rose College of Management and Sciences,450,295,0,0,745
10023454,Moorlands College,100,100,0,0,200
10000216,All Nations Christian College,50,35,0,0,85
10004538,Nazarene Theological College,60,90,0,0,150
10030129,Nelson College London Ltd,820,810,0,0,"1,630"
10023456,Newbold College,15,55,0,0,65
10007799,Newcastle University,"14,435","12,770",80,0,"27,280"
10048199,New College of the Humanities,240,230,5,0,470
10007832,Newman University,"2,110",650,5,0,"2,760"
10067406,New Model Institute for Technology and Engineering (NMITE),5,30,0,0,35
10008397,Norland College,265,5,0,0,270
10007138,The University of Northampton,"10,095","6,000",10,0,"16,100"
10009614,Grŵp NPTC Group,30,150,0,0,180
10004740,Northern College of Acupuncture,145,20,0,0,165
10001282,University of Northumbria at Newcastle,"17,685","14,860",25,0,"32,570"
10004775,Norwich University of the Arts,"1,780",980,0,0,"2,760"
10007154,University of Nottingham,"20,495","16,640",125,0,"37,260"
10004797,The Nottingham Trent University,"22,435","18,990",40,0,"41,465"
10007773,The Open University,"96,125","55,710",5,0,"151,840"
10023445,ICOM,30,5,0,0,30
10004930,Oxford Brookes University,"10,260","7,195",15,0,"17,470"
10007774,The University of Oxford,"14,115","13,145",35,0,"27,290"
10066143,Paris Dauphine International,115,65,0,0,180
10006243,St Patrick's International College,60,20,0,0,80
10042570,Pearson College,405,530,5,0,940
10005127,Arts University Plymouth,790,270,0,0,"1,060"
10007801,University of Plymouth,"11,800","7,175",120,0,"19,095"
10019178,Point Blank Music School,115,660,0,0,775
10007155,The University of Portsmouth,"12,270","14,200",35,0,"26,500"
10083476,The Prince's Foundation,20,0,0,0,20
10005337,"Queen Margaret University, Edinburgh","4,860","1,360",30,0,"6,250"
10007775,Queen Mary University of London,"13,915","12,075",55,0,"26,045"
10025197,University Centre Quayside Limited,80,70,0,0,150
10009292,Royal Academy of Dramatic Art,110,80,5,0,195
10005544,Royal Academy of Dance,120,5,0,0,125
10005389,Ravensbourne University London,"1,275","1,285",25,0,"2,585"
10005470,"Richmond, The American International University in London",400,290,0,0,695
10007802,The University of Reading,"10,490","8,885",15,0,"19,390"
10086591,Regent's University London Limited,"1,045",815,0,0,"1,865"
10021100,Regents Theological College,85,80,0,0,165
10023871,Results Consortium Limited,75,30,0,0,105
10062833,Raindance Educational Services Limited,20,15,0,0,40
10008455,Regent College,"1,745","1,415",0,0,"3,160"
10005500,Robert Gordon University,"9,165","5,795",10,0,"14,970"
10007776,Roehampton University,"7,390","4,920",20,0,"12,335"
10005523,Rose Bruford College of Theatre and Performance,645,450,15,0,"1,105"
10007835,Royal Academy of Music,405,385,0,0,790
10005545,Royal Agricultural University,660,580,0,0,"1,240"
10007777,Royal College of Art,"1,805",745,25,0,"2,575"
10007778,Royal College of Music,530,460,5,0,995
10005561,Royal Conservatoire of Scotland,730,510,5,0,"1,245"
10007816,The Royal Central School of Speech and Drama,750,320,15,0,"1,085"
10005553,Royal Holloway and Bedford New College,"7,030","5,450",0,0,"12,480"
10007837,Royal Northern College of Music,405,465,5,0,870
10007779,The Royal Veterinary College,"2,080",510,0,0,"2,590"
10007803,The University of St. Andrews,"6,955","4,835",35,0,"11,820"
10007839,SAE Education Limited,185,555,10,0,745
10007782,"St George's, University of London","3,335","1,485",5,0,"4,825"
10008026,St Mary's University College,755,285,0,0,"1,040"
10007843,"St Mary's University, Twickenham","3,085","2,805",10,0,"5,895"
10007156,The University of Salford,"14,015","11,170",235,0,"25,415"
10021256,The Salvation Army,25,15,0,0,40
10008362,London School of Science and Technology Limited,115,100,0,0,215
10007780,SOAS University of London,"3,985","2,280",30,0,"6,295"
10005700,SRUC,"1,075",620,5,0,"1,700"
10005790,Sheffield Hallam University,"19,415","15,080",40,0,"34,535"
10007157,The University of Sheffield,"16,525","14,295",45,0,"30,860"
10023458,The Sherwood Psychotherapy Training Institute Limited,180,35,5,0,215
10006022,Solent University,"4,845","5,220",0,0,"10,070"
10007158,The University of Southampton,"12,675","11,110",10,0,"23,795"
10006093,Spurgeon's College,130,145,0,0,280
10006299,Staffordshire University,"8,885","9,550",30,0,"18,460"
10008098,Study Group,975,"2,070",0,0,"3,040"
10007804,The University of Stirling,"9,130","5,710",55,0,"14,895"
10037449,University of St Mark and St John,"1,595","1,295",0,0,"2,890"
10008010,Stranmillis University College,"1,070",255,0,0,"1,325"
10007805,The University of Strathclyde,"13,270","12,365",85,0,"25,715"
10014001,University of Suffolk,"7,995","6,550",5,0,"14,555"
10007159,The University of Sunderland,"12,225","7,710",40,0,"19,975"
10007160,The University of Surrey,"8,610","6,950",15,0,"15,575"
10007806,The University of Sussex,"11,015","8,820",30,0,"19,865"
10007855,Swansea University,"10,900","11,310",80,0,"22,290"
10083403,The Engineering and Design Institute London,10,15,0,0,25
10007161,Teesside University,"12,830","9,855",15,0,"22,695"
10082743,ThinkSpace Education Limited,15,75,0,0,90
10008017,Trinity Laban Conservatoire of Music and Dance,890,455,0,0,"1,340"
10007858,University of Wales Trinity Saint David,"8,515","6,505",25,0,"15,045"
10068157,University Centre Peterborough,560,190,0,0,750
10007114,University of the Highlands and Islands,"6,395","3,565",45,0,"10,005"
10007807,Ulster University,"20,180","14,275",95,0,"34,550"
10039956,The University of Law,"10,455","4,760",15,0,"15,235"
10007784,University College London,"28,455","18,325",50,0,"46,830"
10007793,University of South Wales,"12,580","10,610",80,0,"23,270"
10029843,Waltham International College Limited,5,5,0,0,10
10007163,The University of Warwick,"14,285","14,260",280,0,"28,825"
10007361,Waverley Abbey College,215,35,0,0,250
10007164,"University of the West of England, Bristol","20,105","17,035",30,0,"37,170"
10007800,The University of the West of Scotland,"12,545","7,495",30,0,"20,070"
10032288,West Dean College,235,40,5,0,280
10006566,The University of West London,"10,405","8,205",85,0,"18,695"
10007165,The University of Westminster,"12,165","8,740",10,0,"20,915"
10003614,The University of Winchester,"5,515","2,660",105,0,"8,280"
10007166,The University of Wolverhampton,"13,320","6,905",25,0,"20,250"
10007139,University of Worcester,"7,245","2,650",5,0,"9,900"
10007657,Writtle University College,670,160,0,0,830
10007713,York St John University,"4,875","3,000",60,0,"7,935"
10007167,The University of York,"13,205","10,180",40,0,"23,420"
,Total,"1,633,425","1,221,780","7,410",0,"2,862,620"